Date,InflationRate,USD_PHP,UnemploymentRate,DubaiCrude
1963-03-01,6.164383528711137,3.9,,
1963-04-01,7.5342465467053366,3.8996,,
1963-05-01,6.802721002276413,3.8997,,
1963-06-01,6.711409420031789,3.8997,,
1963-07-01,7.382550413245448,3.8996,,
1963-08-01,6.578947388236767,3.899,,
1963-09-01,10.5263158211788,3.8999,,
1963-10-01,10.5263158211788,3.8999,,
1963-11-01,9.803921652724767,3.9,,
1963-12-01,9.803921652724767,3.9,,
1964-01-01,9.803921652724767,3.9,,
1964-02-01,9.803921652724767,3.9,,
1964-03-01,8.387096852323396,3.8999,,
1964-04-01,8.28025485384114,3.9,,
1964-05-01,8.28025485384114,3.9,,
1964-06-01,7.547169836673806,3.8999,,
1964-07-01,9.374999979135712,3.8993,,
1964-08-01,9.259259238325468,3.8998,,
1964-09-01,4.166666632602523,3.8999,,
1964-10-01,3.5714284903235027,3.8999,,
1964-11-01,3.5714284903235027,3.9,,
1964-12-01,5.357142826322936,3.8998,,
1965-01-01,4.166666632602523,3.9,,
1965-02-01,2.9761904388821536,3.8999,,
1965-03-01,2.9761904388821536,3.8998,,
1965-04-01,2.35294109303823,3.8999,,
1965-05-01,1.764705842220926,3.8993,,
1965-06-01,1.1695906469281203,3.8999,,
1965-07-01,-0.5714286167747273,3.8992,,
1965-08-01,-1.129943506234643,3.8999,,
1965-09-01,0.0,3.8999,,
1965-10-01,0.57471268954703,3.8999,,
1965-11-01,0.0,3.9052,,
1965-12-01,-1.129943506234643,3.9088,,
1966-01-01,1.714285675915872,3.9053,,
1966-02-01,2.8901733752216607,3.8987,,
1966-03-01,1.7341040074905223,3.895,,
1966-04-01,1.1494252913887282,3.8913,,
1966-05-01,3.468208103193393,3.8913,,
1966-06-01,5.202312110683938,3.8909,,
1966-07-01,4.022988563713303,3.8872,,
1966-08-01,3.4285714390359434,3.8871,,
1966-09-01,4.571428585381243,3.8951,,
1966-10-01,4.571428585381243,3.9004,,
1966-11-01,4.5977011655550015,3.9012,,
1966-12-01,4.571428585381243,3.902,,
1967-01-01,5.617977547356068,3.9095,,
1967-02-01,6.179775344958882,3.9129,,
1967-03-01,6.818181841829651,3.913,,
1967-04-01,5.681818201524713,3.9123,,
