,NExog Full Forecast,Low,High
2026-07-01,6.4836130289709875,4.430773534419051,8.536452523522925
2026-08-01,6.348022232080283,2.9050516409134666,9.7909928232471
2026-09-01,6.655733434362708,1.9962777902204225,11.315189078504993
2026-10-01,6.87055423493922,1.0604364180462635,12.680672051832177
2026-11-01,7.126532767945301,0.20410327984167953,14.048962256048924
2026-12-01,6.736401425191674,-1.2693352429563527,14.742138093339701
2027-01-01,6.772203839764655,-2.2913233270038074,15.835731006533118
2027-02-01,6.80386462923505,-3.2932675828487055,16.900996841318804
2027-03-01,5.690922909691386,-5.41615676821028,16.798002587593054
2027-04-01,3.494100434269444,-8.59953734873286,15.587738217271749
2027-05-01,4.073227310856129,-8.983812499521472,17.13026712123373
2027-06-01,4.625525804488431,-9.372046896240887,18.623098505217747
