,Exog Reduced Forecast,Low,High
2026-07-01,6.606598405776381,5.873705051098052,7.3394917604547105
2026-08-01,6.35718990866689,5.110691657074339,7.603688160259441
2026-09-01,6.698281921290348,5.1168286194001675,8.279735223180527
2026-10-01,6.835978027576561,4.9914283707696026,8.68052768438352
2026-11-01,7.110915576911174,5.047072802940717,9.174758350881632
2026-12-01,6.571148282544046,4.3184981922582,8.823798372829891
2027-01-01,6.546672955760951,4.128114429705718,8.965231481816184
2027-02-01,6.5292458431279305,3.962848026614791,9.09564365964107
2027-03-01,5.287969600620247,2.5884874662328112,7.987451735007683
2027-04-01,2.8871616707130388,0.06694636043989144,5.7073769809861865
2027-05-01,3.5309922771596014,0.6005804338341361,6.461404120485067
2027-06-01,4.10582480212328,1.0743395770671471,7.137310027179413
